1, Eddie Howe, Bournemouth, England
2, Arsene Wenger, Arsenal, France
3, Sean Dyche, Burnley, England
4, Antonio Conte, Chelsea, Italy
5, Sam Allardyce, Crystal Palace, England
6, Ronald Koeman, Everton, Netherlands
7, Marco Silva, Hull City, Portugal
8, Craig Shakespeare, Leicester City, England
9, Jurgen Klopp, Liverpool, Germany
10, Josep Guardiola, Manchester City, Spain
11, Jose Mourinho, Manchester United, Portugal
12, Steve Agnew, Middlesbrough, England
13, Claude Puel, Southampton, France
14, Mark Hughes, Stoke City, Wales
15, David Moyes, Sunderland, Scotland
16, Paul Clement, Swansea City, England
17, Mauricio Pochettino, Tottenham Hotspur, Argentina
18, Walter Mazzarri, Watford, Italy
19, Tony Pulis, West Bromwich Albion, Wales
20, Slaven Bilic, West Ham United, Croatia
